,image_name,path,label,coor_0,coor_1,coor_2,coor_3,coor_4,coor_5,coor_6,coor_7,coor_8,coor_9,coor_10,coor_11,coor_12,coor_13,coor_14,coor_15
0,00004790_000,images/00004790_000.png,1,19 309 35 419,19 309 239 623,27 276 531 795,27 276 735 999,212 502 35 419,212 502 239 623,193 443 531 795,193 443 735 999,405 695 35 419,405 695 239 623,360 609 531 795,360 609 735 999,598 897 35 419,598 897 239 623,526 783 531 795,526 783 735 999
1,00010780_014,images/00010780_014.png,1,57 286 79 371,57 286 283 575,45 307 487 797,45 307 691 1001,210 439 79 371,210 439 283 575,220 482 487 797,220 482 691 1001,362 591 79 371,362 591 283 575,394 656 487 797,394 656 691 1001,515 751 79 371,515 751 283 575,569 839 487 797,569 839 691 1001
2,00008701_035,images/00008701_035.png,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
3,00008701_035,images/00008701_035.png,1,0 146 47 295,0 146 251 499,0 246 413 717,0 246 617 921,97 244 47 295,97 244 251 499,164 410 413 717,164 410 617 921,195 341 47 295,195 341 251 499,328 574 413 717,328 574 617 921,292 443 47 295,292 443 251 499,492 745 413 717,492 745 617 921
4,00017384_001,images/00017384_001.png,1,39 248 73 405,39 248 277 609,35 264 511 837,35 264 715 1024,178 387 73 405,178 387 277 609,188 417 511 837,188 417 715 1024,317 526 73 405,317 526 277 609,340 569 511 837,340 569 715 1024,456 671 73 405,456 671 277 609,493 729 511 837,493 729 715 1024
5,00001875_002,images/00001875_002.png,1,61 336 109 405,61 336 313 609,45 354 477 755,45 354 681 959,244 519 109 405,244 519 313 609,251 560 477 755,251 560 681 959,427 702 109 405,427 702 313 609,457 766 477 755,457 766 681 959,610 893 109 405,610 893 313 609,663 981 477 755,663 981 681 959
6,00026004_007,images/00026004_007.png,1,27 224 0 345,27 224 169 549,29 249 445 827,29 249 649 1024,158 355 0 345,158 355 169 549,176 395 445 827,176 395 649 1024,289 486 0 345,289 486 169 549,322 542 445 827,322 542 649 1024,420 623 0 345,420 623 169 549,469 695 445 827,469 695 649 1024
7,00004819_001,images/00004819_001.png,1,13 243 111 437,13 243 315 641,0 231 477 837,0 231 681 1024,166 396 111 437,166 396 315 641,154 384 477 837,154 384 681 1024,319 549 111 437,319 549 315 641,308 538 477 837,308 538 681 1024,472 709 111 437,472 709 315 641,461 699 477 837,461 699 681 1024
8,00005982_017,images/00005982_017.png,1,73 280 161 403,73 280 365 607,19 252 479 805,19 252 683 1009,211 417 161 403,211 417 365 607,174 407 479 805,174 407 683 1009,348 555 161 403,348 555 365 607,330 563 479 805,330 563 683 1009,486 699 161 403,486 699 365 607,485 725 479 805,485 725 683 1009
9,00010773_001,images/00010773_001.png,1,23 297 35 421,23 297 239 625,71 379 537 843,71 379 741 1024,206 480 35 421,206 480 239 625,276 584 537 843,276 584 741 1024,388 662 35 421,388 662 239 625,481 789 537 843,481 789 741 1024,571 853 35 421,571 853 239 625,686 1003 537 843,686 1003 741 1024
10,00028088_005,images/00028088_005.png,1,91 347 31 379,91 347 235 583,55 325 469 861,55 325 673 1024,262 518 31 379,262 518 235 583,235 505 469 861,235 505 673 1024,432 689 31 379,432 689 235 583,415 685 469 861,415 685 673 1024,603 867 31 379,603 867 235 583,595 873 469 861,595 873 673 1024
11,00005666_003,images/00005666_003.png,1,37 304 0 315,37 304 197 519,29 335 407 761,29 335 611 965,215 481 0 315,215 481 197 519,233 538 407 761,233 538 611 965,393 659 0 315,393 659 197 519,436 742 407 761,436 742 611 965,570 845 0 315,570 845 197 519,640 955 407 761,640 955 611 965
12,00003547_003,images/00003547_003.png,1,0 289 63 391,0 289 267 595,0 283 471 781,0 283 675 985,192 481 63 391,192 481 267 595,189 472 471 781,189 472 675 985,385 674 63 391,385 674 267 595,378 661 471 781,378 661 675 985,578 875 63 391,578 875 267 595,567 859 471 781,567 859 675 985
13,00001908_000,images/00001908_000.png,1,3 280 95 401,3 280 299 605,19 317 515 851,19 317 719 1024,187 464 95 401,187 464 299 605,218 516 515 851,218 516 719 1024,372 648 95 401,372 648 299 605,417 715 515 851,417 715 719 1024,556 841 95 401,556 841 299 605,616 923 515 851,616 923 719 1024
14,00004436_004,images/00004436_004.png,1,0 323 0 367,0 323 161 571,0 338 463 805,0 338 667 1009,215 538 0 367,215 538 161 571,225 563 463 805,225 563 667 1009,431 754 0 367,431 754 161 571,451 788 463 805,451 788 667 1009,646 979 0 367,646 979 161 571,676 1024 463 805,676 1024 667 1009
15,00009690_002,images/00009690_002.png,1,0 315 63 389,0 315 267 593,0 328 475 803,0 328 679 1007,210 525 63 389,210 525 267 593,219 547 475 803,219 547 679 1007,420 735 63 389,420 735 267 593,438 766 475 803,438 766 679 1007,630 955 63 389,630 955 267 593,657 995 475 803,657 995 679 1007
16,00028421_003,images/00028421_003.png,1,0 313 7 393,0 313 211 597,0 327 491 825,0 327 695 1024,208 521 7 393,208 521 211 597,218 545 491 825,218 545 695 1024,417 729 7 393,417 729 211 597,436 763 491 825,436 763 695 1024,625 947 7 393,625 947 211 597,654 991 491 825,654 991 695 1024
17,00015754_008,images/00015754_008.png,1,0 280 0 343,0 280 159 547,0 300 427 773,0 300 631 977,187 467 0 343,187 467 159 547,200 500 427 773,200 500 631 977,374 654 0 343,374 654 159 547,400 700 427 773,400 700 631 977,560 849 0 343,560 849 159 547,600 909 427 773,600 909 631 977
18,00017731_001,images/00017731_001.png,1,0 328 0 333,0 328 119 537,0 334 451 789,0 334 655 993,218 546 0 333,218 546 119 537,222 556 451 789,222 556 655 993,437 765 0 333,437 765 119 537,445 778 451 789,445 778 655 993,655 993 0 333,655 993 119 537,667 1011 451 789,667 1011 655 993
19,00007065_002,images/00007065_002.png,1,25 275 33 335,25 275 237 539,47 300 439 727,47 300 643 931,192 442 33 335,192 442 237 539,216 469 439 727,216 469 643 931,359 609 33 335,359 609 237 539,385 638 439 727,385 638 643 931,525 783 33 335,525 783 237 539,554 815 439 727,554 815 643 931
20,00021901_000,images/00021901_000.png,1,0 298 39 391,0 298 243 595,0 328 483 817,0 328 687 1021,199 497 39 391,199 497 243 595,219 547 483 817,219 547 687 1021,397 695 39 391,397 695 243 595,438 766 483 817,438 766 687 1021,596 903 39 391,596 903 243 595,657 995 483 817,657 995 687 1021
21,00010759_000,images/00010759_000.png,1,29 307 85 405,29 307 289 609,15 292 469 811,15 292 673 1015,214 492 85 405,214 492 289 609,199 476 469 811,199 476 673 1015,399 677 85 405,399 677 289 609,384 660 469 811,384 660 673 1015,585 871 85 405,585 871 289 609,568 853 469 811,568 853 673 1015
